policy_id,customer_name,policy_type,coverage_amount,premium,renewal_date
POL001,Catherine Mcfarland,Life,446000,1800,31-12-2025
POL002,Danielle Williams,Auto,239000,400,23-11-2025
POL003,Michael Novak,Home,672000,400,22-10-2025
POL004,Adrian Ryan,Health,167000,400,28-06-2026
POL005,Valerie Hernandez,Home,458000,1200,26-02-2026
POL006,Christopher Young,Auto,290000,800,20-12-2025
POL007,James Reynolds,Health,264000,1000,09-10-2025
POL008,Brett Gross,Home,585000,1400,27-12-2025
POL009,Karen Soto,Health,209000,500,08-06-2026
POL010,Ryan Smith,Life,651000,1800,29-08-2025
POL011,Cassandra Deleon,Auto,133000,500,24-03-2026
POL012,Kaitlyn Brown,Home,147000,1300,25-02-2026
POL013,Colton Franklin,Travel,142000,100,12-01-2026
POL014,Meghan Green,Auto,53000,300,04-12-2025
POL015,Angelica Todd,Travel,86000,200,10-01-2026
POL016,Christine Blair,Auto,210000,200,24-11-2025
POL017,Fernando Bell MD,Travel,122000,200,19-10-2025
POL018,Bianca Kim,Auto,231000,400,23-06-2026
POL019,Kristina Brown,Life,984000,2000,30-10-2025
POL020,Dennis Osborne,Travel,61000,100,02-11-2025
POL021,Dr. Calvin Houston,Health,207000,600,24-09-2025
POL022,Dennis Bush,Health,329000,900,02-12-2025
POL023,Tina Roberts,Travel,86000,500,15-06-2026
POL024,Dr. Michele Martin,Auto,133000,500,04-12-2025
POL025,Erin Griffin,Auto,247000,500,27-03-2026
POL026,Joe Marquez,Life,567000,1000,15-12-2025
POL027,Natalie Herman,Life,764000,1800,22-04-2026
POL028,Sabrina Pollard,Life,605000,1400,18-09-2025
POL029,James Coleman,Health,441000,300,01-12-2025
POL030,Paula Taylor,Home,536000,1000,30-08-2025
POL031,Philip Lopez,Auto,255000,200,07-03-2026
POL032,Tiffany Turner,Life,968000,1500,02-12-2025
POL033,Lee Perez,Travel,88000,300,26-03-2026
POL034,Samuel Clark,Health,219000,300,10-04-2026
POL035,Robert Barrett,Life,658000,1100,29-04-2026
POL036,Cameron Stokes,Life,280000,1600,24-11-2025
POL037,Jaime Gonzales,Health,286000,900,27-09-2025
POL038,Adam Chapman,Life,433000,1700,05-09-2025
POL039,Jerry Terry,Life,729000,1200,06-04-2026
POL040,Adrian Miller,Auto,111000,600,01-06-2026
POL041,Michael Mays,Auto,73000,700,13-04-2026
POL042,Sarah Jacobson,Travel,32000,400,04-01-2026
POL043,Kayla Marshall,Health,195000,400,24-05-2026
POL044,Christina Blair,Health,404000,900,16-06-2026
POL045,Neil Jones,Life,230000,1500,03-01-2026
POL046,Todd Henry,Life,420000,1600,27-03-2026
POL047,Kevin Bell,Auto,250000,300,15-02-2026
POL048,Gregory Watkins,Health,304000,300,30-04-2026
POL049,Dennis Haley,Life,772000,800,24-08-2025
POL050,Patricia Griffith,Travel,67000,300,07-01-2026
POL051,Charles Hernandez,Life,590000,1600,23-04-2026
POL052,Valerie Bishop,Auto,211000,700,30-06-2026
POL053,Sarah Little,Home,645000,700,24-08-2025
POL054,Robert Miller,Auto,83000,800,01-11-2025
POL055,Juan Lewis,Home,585000,800,03-01-2026
POL056,Brandon Lynn,Auto,64000,500,23-10-2025
POL057,Ryan Todd,Travel,148000,300,07-03-2026
